시공ID,작업ID,단계,공사가 해야할 일,확인포인트,산출물
C-WINDOW-GLASS-001-02,WINDOW-GLASS-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WINDOW-GLASS-001-03,WINDOW-GLASS-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WINDOW-DOOR-001-01,WINDOW-DOOR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-WINDOW-DOOR-001-02,WINDOW-DOOR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WINDOW-DOOR-001-03,WINDOW-DOOR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-METAL-RAIL-001-01,METAL-RAIL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-METAL-RAIL-001-02,METAL-RAIL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-METAL-RAIL-001-03,METAL-RAIL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-METAL-CEIL-001-01,METAL-CEIL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-METAL-CEIL-001-02,METAL-CEIL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-METAL-CEIL-001-03,METAL-CEIL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-METAL-LOUVER-001-01,METAL-LOUVER-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-METAL-LOUVER-001-02,METAL-LOUVER-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-METAL-LOUVER-001-03,METAL-LOUVER-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ROOF-SHEET-001-01,ROOF-SHEET-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ROOF-SHEET-001-02,ROOF-SHEET-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ROOF-SHEET-001-03,ROOF-SHEET-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ROOF-DRAIN-001-01,ROOF-DRAIN-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ROOF-DRAIN-001-02,ROOF-DRAIN-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ROOF-DRAIN-001-03,ROOF-DRAIN-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STONE-EXT-001-01,STONE-EXT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STONE-EXT-001-02,STONE-EXT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STONE-EXT-001-03,STONE-EXT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-STONE-FLOOR-001-01,STONE-FLOOR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-STONE-FLOOR-001-02,STONE-FLOOR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-STONE-FLOOR-001-03,STONE-FLOOR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TILE-WALL-001-01,TILE-WALL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TILE-WALL-001-02,TILE-WALL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TILE-WALL-001-03,TILE-WALL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TILE-FLOOR-001-01,TILE-FLOOR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TILE-FLOOR-001-02,TILE-FLOOR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TILE-FLOOR-001-03,TILE-FLOOR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-TILE-GROUT-001-01,TILE-GROUT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-TILE-GROUT-001-02,TILE-GROUT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-TILE-GROUT-001-03,TILE-GROUT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PAINT-WATER-001-01,PAINT-WATER-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PAINT-WATER-001-02,PAINT-WATER-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PAINT-WATER-001-03,PAINT-WATER-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PAINT-EPOXY-001-01,PAINT-EPOXY-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PAINT-EPOXY-001-02,PAINT-EPOXY-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PAINT-EPOXY-001-03,PAINT-EPOXY-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PAINT-ANTIRUST-001-01,PAINT-ANTIRUST-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PAINT-ANTIRUST-001-02,PAINT-ANTIRUST-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PAINT-ANTIRUST-001-03,PAINT-ANTIRUST-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-INTERIOR-BOARD-001-01,INTERIOR-BOARD-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-INTERIOR-BOARD-001-02,INTERIOR-BOARD-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-INTERIOR-BOARD-001-03,INTERIOR-BOARD-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-INTERIOR-CEIL-001-01,INTERIOR-CEIL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-INTERIOR-CEIL-001-02,INTERIOR-CEIL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-INTERIOR-CEIL-001-03,INTERIOR-CEIL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-INTERIOR-FIN-001-01,INTERIOR-FIN-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-INTERIOR-FIN-001-02,INTERIOR-FIN-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-INTERIOR-FIN-001-03,INTERIOR-FIN-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MECH-PIPE-001-01,MECH-PIPE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MECH-PIPE-001-02,MECH-PIPE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MECH-PIPE-001-03,MECH-PIPE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MECH-DRAIN-001-01,MECH-DRAIN-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MECH-DRAIN-001-02,MECH-DRAIN-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MECH-DRAIN-001-03,MECH-DRAIN-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MECH-DUCT-001-01,MECH-DUCT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MECH-DUCT-001-02,MECH-DUCT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MECH-DUCT-001-03,MECH-DUCT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MECH-EQUIP-001-01,MECH-EQUIP-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MECH-EQUIP-001-02,MECH-EQUIP-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MECH-EQUIP-001-03,MECH-EQUIP-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MECH-TEST-001-01,MECH-TEST-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MECH-TEST-001-02,MECH-TEST-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MECH-TEST-001-03,MECH-TEST-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ELEC-CONDUIT-001-01,ELEC-CONDUIT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ELEC-CONDUIT-001-02,ELEC-CONDUIT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ELEC-CONDUIT-001-03,ELEC-CONDUIT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ELEC-WIRE-001-01,ELEC-WIRE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ELEC-WIRE-001-02,ELEC-WIRE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ELEC-WIRE-001-03,ELEC-WIRE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ELEC-PANEL-001-01,ELEC-PANEL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ELEC-PANEL-001-02,ELEC-PANEL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ELEC-PANEL-001-03,ELEC-PANEL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ELEC-LIGHT-001-01,ELEC-LIGHT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ELEC-LIGHT-001-02,ELEC-LIGHT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ELEC-LIGHT-001-03,ELEC-LIGHT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-ELEC-GROUND-001-01,ELEC-GROUND-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-ELEC-GROUND-001-02,ELEC-GROUND-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-ELEC-GROUND-001-03,ELEC-GROUND-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-FIRE-SPR-001-01,FIRE-SPR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-FIRE-SPR-001-02,FIRE-SPR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-FIRE-SPR-001-03,FIRE-SPR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-FIRE-HYDRANT-001-01,FIRE-HYDRANT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-FIRE-HYDRANT-001-02,FIRE-HYDRANT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-FIRE-HYDRANT-001-03,FIRE-HYDRANT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-FIRE-ALARM-001-01,FIRE-ALARM-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-FIRE-ALARM-001-02,FIRE-ALARM-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-FIRE-ALARM-001-03,FIRE-ALARM-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-FIRE-SMOKE-001-01,FIRE-SMOKE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-FIRE-SMOKE-001-02,FIRE-SMOKE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-FIRE-SMOKE-001-03,FIRE-SMOKE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EXT-PAVE-001-01,EXT-PAVE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EXT-PAVE-001-02,EXT-PAVE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EXT-PAVE-001-03,EXT-PAVE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EXT-BLOCK-001-01,EXT-BLOCK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EXT-BLOCK-001-02,EXT-BLOCK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EXT-BLOCK-001-03,EXT-BLOCK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-EXT-MANHOLE-001-01,EXT-MANHOLE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-EXT-MANHOLE-001-02,EXT-MANHOLE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-EXT-MANHOLE-001-03,EXT-MANHOLE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-LAND-PLANT-001-01,LAND-PLANT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-LAND-PLANT-001-02,LAND-PLANT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-LAND-PLANT-001-03,LAND-PLANT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-LAND-FAC-001-01,LAND-FAC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-LAND-FAC-001-02,LAND-FAC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-LAND-FAC-001-03,LAND-FAC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-CLOSE-CLEAN-001-01,CLOSE-CLEAN-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-CLOSE-CLEAN-001-02,CLOSE-CLEAN-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-CLOSE-CLEAN-001-03,CLOSE-CLEAN-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-CLOSE-TEST-001-01,CLOSE-TEST-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-CLOSE-TEST-001-02,CLOSE-TEST-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-CLOSE-TEST-001-03,CLOSE-TEST-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-CLOSE-DOC-001-01,CLOSE-DOC-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-CLOSE-DOC-001-02,CLOSE-DOC-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-CLOSE-DOC-001-03,CLOSE-DOC-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
